"Date","BTC","ETH"
"Apr-04-2021",78252.858398,2799.63255
"Apr-03-2021",76806.429246328,2718.97783144153
"Apr-02-2021",79258.5049550325,2868.38839301186
"Apr-01-2021",78979.2979221533,2649.91929333857
"Mar-31-2021",78930.6905637561,2574.53922584979
"Mar-30-2021",78896.4056567501,2477.38600889508
"Mar-29-2021",77513.0926692849,2448.13559849722
"Mar-28-2021",75089.63319,2271.146878
"Mar-27-2021",75164.8144466566,2308.08237803149
"Mar-26-2021",73934.7231570074,2286.17585302106
"Mar-25-2021",69108.2685012427,2135.73610824657
"Mar-24-2021",70684.4685368603,2135.05949125738
"Mar-23-2021",73393.2686658663,2253.14228929598
"Mar-22-2021",72922.8376006933,2265.90776538323
"Mar-21-2021",77146.6028958615,2400.35149426221
"Mar-20-2021",78259.082044,2435.381234
"Mar-19-2021",78086.760533215,2432.96413313728
"Mar-18-2021",77543.5651369819,2389.93369833006
"Mar-17-2021",78920.641822593,2445.71101197692
"Mar-16-2021",75888.1530980772,2415.73838233199
"Mar-15-2021",74904.1324594566,2405.73561964544
"Mar-14-2021",79818.621464182,2507.12564078886
"Mar-13-2021",82396.768085042,2588.03257410967
"Mar-12-2021",76993.2959766151,2377.87431041643
"Mar-11-2021",77471.2192861196,2452.90205381158
"Mar-10-2021",75273.5053306483,2421.06916380764
"Mar-09-2021",73607.6683982916,2508.03228903304
"Mar-08-2021",70337.7684936102,2464.23591116243
"Mar-07-2021",69104.2825942919,2325.25018006696
"Mar-06-2021",65710.9487441772,2228.46517359057
"Mar-05-2021",65733.9550623669,2061.30307499496
"Mar-04-2021",65225.6645161931,2071.15207652136
"Mar-03-2021",68007.8899397074,2124.15437850293
"Mar-02-2021",64851.7302527926,2003.1814455401
"Mar-01-2021",66615.7787213258,2108.51812643403
"Feb-28-2021",60471.1824066505,1902.31800727294
"Feb-27-2021",62105.150138661,1970.02711865717
"Feb-26-2021",62109.1074271676,1936.97430428365
"Feb-25-2021",63677.9504950465,2011.2219959836
"Feb-24-2021",66642.3000534975,2184.05673143555
"Feb-23-2021",65213.0324920466,2097.74525343692
"Feb-22-2021",72793.3433087544,2389.0021060958
"Feb-21-2021",77113.9932037027,2592.21493749535
"Feb-20-2021",75287.0120707924,2575.33477584703
"Feb-19-2021",74999.8474222144,2621.64462711094
"Feb-18-2021",69437.1335669796,2586.67458212166
"Feb-17-2021",70069.9480579518,2475.80346237318
"Feb-16-2021",66216.7044506407,2397.23116242513
"Feb-15-2021",64497.3741455301,2390.24325011681
"Feb-14-2021",65426.6897953432,2426.04192421062
"Feb-13-2021",63253.7096486601,2433.91551201301
"Feb-12-2021",64014.2571432587,2474.46911443034
"Feb-11-2021",64092.0265292289,2392.57559533587
"Feb-10-2021",60309.5523622879,2341.85701408207
"Feb-09-2021",62520.785963886,2376.09455203395
"Feb-08-2021",62136.3122719643,2349.6073401048
"Feb-07-2021",52274.1075172761,2168.65434048538
"Feb-06-2021",52681.2244503392,2251.9239412563
"Feb-05-2021",51006.9654459441,2305.90179997555
"Feb-04-2021",49652.1064659994,2141.41776619714
"Feb-03-2021",50477.3101543252,2234.16056940762
"Feb-02-2021",47728.6810662994,2038.93352297452
"Feb-01-2021",45048.7676551484,1846.72037775448
"Jan-31-2021",44541.5986767273,1768.41289340067
"Jan-30-2021",46150.5636912476,1854.81731326128
"Jan-29-2021",46027.0033579442,1864.99681898948
"Jan-28-2021",44516.6414074457,1790.42254733176
"Jan-27-2021",40736.4431075194,1680.58553182972
"Jan-26-2021",43791.0366823609,1822.78362244055
"Jan-25-2021",43381.0760394567,1777.85235649416
"Jan-24-2021",43366.2367554286,1878.39427324323
"Jan-23-2021",43076.0175821876,1656.03489386753
"Jan-22-2021",44138.3334400024,1663.04881365932
"Jan-21-2021",41526.1049293911,1517.00937913122
"Jan-20-2021",47902.0603955566,1862.15483167874
"Jan-19-2021",48629.7786895759,1864.37960773236
"Jan-18-2021",49352.0922359379,1694.01280822911
"Jan-17-2021",48104.1017691089,1659.37178481726
"Jan-16-2021",48630.7098376112,1661.1176494508
"Jan-15-2021",49303.8451256892,1568.62496350491
"Jan-14-2021",52833.3592085349,1640.24799720247
"Jan-13-2021",50218.4142889209,1519.03449389074
"Jan-12-2021",45634.779224283,1403.7912990548
"Jan-11-2021",47812.8212516275,1467.06220576979
"Jan-10-2021",51481.5421468174,1699.0600143209
"Jan-09-2021",53941.4024701899,1726.96513411016
"Jan-08-2021",54713.363137686,1639.59356340608
"Jan-07-2021",53086.6633496466,1648.35315662569
"Jan-06-2021",49606.6501730681,1622.60033853237
"Jan-05-2021",45655.9686406517,1481.71945964522
"Jan-04-2021",42979.2251812885,1399.0288382364
"Jan-03-2021",44194.0797092911,1320.11524650383
"Jan-02-2021",43139.7667622551,1037.46213694097
"Jan-01-2021",39385.3166559387,982.433483642068
"Dec-31-2020",38952.1762759438,1000.13512583985
"Dec-30-2020",38726.4295365795,1013.19357811346
"Dec-29-2020",36821.0530006428,985.223099373627
"Dec-28-2020",36491.4903881553,983.934740303429
"Dec-27-2020",35388.0568866625,919.273524139714
"Dec-26-2020",35550.0218728639,854.41444956193
"Dec-25-2020",33137.2674894407,840.661496597237
"Dec-24-2020",31901.9395796361,822.794194339232
"Dec-23-2020",31268.4916610815,789.372962860997
"Dec-22-2020",31994.1647119787,853.943365895649
"Dec-21-2020",30758.1966796678,821.838438181046
"Dec-20-2020",31610.7486900354,860.202753277067
"Dec-19-2020",32051.8684054257,887.114667527059
"Dec-18-2020",31069.8288357774,879.818315034316
"Dec-17-2020",30679.2937137166,866.380279464557
"Dec-16-2020",28721.6508571961,855.948585933298
"Dec-15-2020",26123.277314779,791.968645308355
"Dec-14-2020",25903.7378617479,787.473931733318
"Dec-13-2020",25767.4247471367,793.613206286215
"Dec-12-2020",25277.4050474171,763.602012257055
"Dec-11-2020",24279.100342199,733.106754998675
"Dec-10-2020",24547.6170129322,753.149858999023
"Dec-09-2020",24961.7774659246,771.565176703292
"Dec-08-2020",24632.5378594911,747.587257956796
"Dec-07-2020",25795.2487857323,796.562469221376
"Dec-06-2020",25992.3821319619,808.801468151019
"Dec-05-2020",25711.3963034687,800.536302024631
"Dec-04-2020",25186.5343739914,768.853275448458
"Dec-03-2020",26115.0570571648,829.243503690259
"Dec-02-2020",25810.355375098,804.311820118407
"Dec-01-2020",25344.9497957045,792.82860707908
"Nov-30-2020",26510.1440123537,827.441815813899
"Nov-29-2020",24413.5263747845,771.305165111824
"Nov-28-2020",23802.7115650968,723.611584829476
"Nov-27-2020",22954.6910457157,694.294879010504
"Nov-26-2020",22949.2716616532,696.611620694132
"Nov-25-2020",25230.9056655407,769.312287413727
"Nov-24-2020",25703.1356417001,811.11502316928
"Nov-23-2020",24698.9391597741,817.758344558498
"Nov-22-2020",24751.4629495119,755.416370039045
"Nov-21-2020",25148.7149312982,741.177712093018
"Nov-20-2020",25057.6153392334,685.380105967443
"Nov-19-2020",23935.1974349486,633.959519923902
"Nov-18-2020",23964.1813820238,644.888591481392
"Nov-17-2020",23770.5092187737,649.282501031822
"Nov-16-2020",22481.89383972,620.485650876205
"Nov-15-2020",21455.2410087538,603.567090942416
"Nov-14-2020",21619.5590535866,621.692162741564
"Nov-13-2020",21932.1517040035,640.446747358389
"Nov-12-2020",21882.5954573933,621.519514578048
"Nov-11-2020",21087.11094957,623.731916832453
"Nov-10-2020",20539.5957647904,605.384120068528
"Nov-09-2020",20601.4200349042,598.516631527729
"Nov-08-2020",20833.8650744324,611.790986393272
"Nov-07-2020",19923.7098870386,586.184596873304
"Nov-06-2020",20898.3480365325,612.60033833367
"Nov-05-2020",20913.769853974,559.508227845853
"Nov-04-2020",18997.5261013684,540.064692327074
"Nov-03-2020",18782.8411399849,520.760382636494
"Nov-02-2020",18250.1610252282,516.444050350886
"Nov-01-2020",18462.5962180209,531.611372989926
"Oct-31-2020",18543.9467852785,519.618560827623
"Oct-30-2020",18239.2310289068,515.308852943771
"Oct-29-2020",18070.7950721883,519.849345426068
"Oct-28-2020",17844.9019114596,522.91146876969
"Oct-27-2020",18350.4007471705,542.844664243596
"Oct-26-2020",17562.6935260659,529.257758152838
"Oct-25-2020",17502.5751085074,546.14276037424
"Oct-24-2020",17632.1062713482,554.788521094894
"Oct-23-2020",17379.1916085773,550.315538051965
"Oct-22-2020",17418.865689728,555.849651116789
"Oct-21-2020",17217.5835184942,526.82266398619
"Oct-20-2020",16009.7474480379,496.010948415926
"Oct-19-2020",15792.1680721992,510.766174171253
"Oct-18-2020",15444.8792494483,508.044676807039
"Oct-17-2020",15281.5171834243,495.850905551087
"Oct-16-2020",15206.4813145042,491.857176410228
"Oct-15-2020",15448.3742892017,507.229358431968
"Oct-14-2020",15359.3231657342,510.315014671548
"Oct-13-2020",15355.4418362853,512.544946027886
"Oct-12-2020",15517.6298151839,521.197402387519
"Oct-11-2020",15292.2040747222,503.933573374975
"Oct-10-2020",15182.731190604,498.451404558736
"Oct-09-2020",14875.1737672954,491.96336912294
"Oct-08-2020",14649.8333881927,471.733113819367
"Oct-07-2020",14336.2320888047,459.054529577072
"Oct-06-2020",14254.497461624,457.917451720186
"Oct-05-2020",14496.7545142815,475.65129043698
"Oct-04-2020",14336.8319923201,473.447301035709
"Oct-03-2020",14169.6448873205,465.508624081158
"Oct-02-2020",14203.4817508827,465.156156849041
"Oct-01-2020",14267.74653198,474.400668528987
